id,sku_id,description,primary_image
146939a7-91ac-4333-8eb8-1e3511040226,10920,"METAL QUOTE SCULPTURE, SILVER",https://fileserver-g-p.sourcerer.tech/files/8ab8ef8d-385f-4966-84aa-c2f5f7daf0a8
7363b497-966e-4726-82a6-ff92a3454b93,10921,"METAL QUOTE SCULPTURE, BRONZE",https://fileserver-g-p.sourcerer.tech/files/bd336436-ab4d-416a-b83b-bd528e669b0d
13708356-dfb7-4c76-b5f1-dc3af4954235,10922,"FLORAL DESIGN WOODEN TRAY, NATURAL",https://fileserver-g-p.sourcerer.tech/files/11a079a2-bbae-4d7b-9868-964803345110
a18d46ad-1ff7-4463-b743-eb4dfc4c61cb,10923,BRONZE METAL HEXAGON MIRROR,https://fileserver-g-p.sourcerer.tech/files/cc20bdbf-223f-4d7d-9ee3-16c45fa4a2cc
c4175cae-af96-4f7d-a653-29f89c9efff5,10923-01,"METAL GEO FRAME MIRROR, GOLD,WINDOW BOX",https://fileserver-g-p.sourcerer.tech/files/9bfa2706-8995-4f3d-bf40-e7ecaf7d1ef7
43a44357-cc98-4d47-87e2-0fec083b66e6,10924,"S/2 ROUND METAL ACCENT TABLES, WOOD TOP",https://fileserver-g-p.sourcerer.tech/files/c73bef3f-b68e-443f-9c0d-9f0baf289cc0
ff0c8273-6af9-4c2c-b4e8-6a3b2c867bb0,10925,"DIMPLED GOLD VASE W/ HANDLES 19.75""",https://fileserver-g-p.sourcerer.tech/files/96d7c66c-70cf-4f86-9626-5a30c45f7c86
1b3e455a-204e-4ce0-afc5-c67ff5be36b9,10926,"DIMPLED GOLD VASE W/ HANDLES 16""",https://fileserver-g-p.sourcerer.tech/files/25af9a9f-6b37-490b-ba61-5f5654d5b5f4
445a3b7e-a41d-451f-a80d-3c1de16c1f90,10927,"DIMPLED GOLD VASE W/ HANDLES 11.75""",https://fileserver-g-p.sourcerer.tech/files/a6518734-d774-4501-9ae8-ac324f43ea45
ca2d0c5d-9d35-41b4-b27e-dd4326c1a6d4,10928,"METAL & WOOD SERVING CART, BLACK",https://fileserver-g-p.sourcerer.tech/files/849f388b-32b9-491b-bba2-5f1e37706702
5fdea201-08e7-4ec1-9de5-6dc9ab4c0f9c,10929,S/2 WOOD/METAL BAR CART & TABLE,https://fileserver-g-p.sourcerer.tech/files/43185c37-376a-44d4-af5b-6edb741a9e1c
afdb0dd9-f1fa-4728-95c8-81d16551a9e3,10931,METAL WALL ORGANIZER: BASKETS/HOOKS,https://fileserver-g-p.sourcerer.tech/files/58f51c23-2f99-4ee1-806e-65524e16050b
ddcc64c4-3bd0-4d74-a08d-9b3480e55a45,10932,"METAL WALL BASKET, BLUE",https://fileserver-g-p.sourcerer.tech/files/e491c68c-5ba1-4a1e-9227-6574afce3a98
1b3a5546-1ded-43db-bbeb-40a5bfc65b73,10934,"METAL WALL BASKET, PINK",https://fileserver-g-p.sourcerer.tech/files/15af2353-4186-4492-924f-172eaa5a7fb8
28ef1e4f-ba74-460e-b6b4-86af8613be04,10935,"METAL WALL BASKET, GREEN",https://fileserver-g-p.sourcerer.tech/files/9e227a49-604a-47b6-a866-62140b6141bd
57717da6-297c-4954-a4e2-ca0b6109bf29,10938,BRONZE HEXAGON MIRROR,https://fileserver-g-p.sourcerer.tech/files/680dece7-ec38-4295-828a-83b7eceb2b40
823ac2d4-c76f-4678-a1e2-b476989fc456,10939,GOLD HEXAGON MIRROR,https://fileserver-g-p.sourcerer.tech/files/1609f1a7-4ba0-4e2a-8998-c521da46f2d9
54cefa60-9675-4346-b208-3873fa3f7462,10940,SILVER HEXAGON MIRROR,https://fileserver-g-p.sourcerer.tech/files/ea9395e9-f79f-4dfb-a68f-3848d6af95e9
3215cfeb-c366-44db-a48b-ff4d5ff5aa49,10941,"ALUMINUM SPLIT GLOBE WALL ART,WOOD FRAME",https://fileserver-g-p.sourcerer.tech/files/900cf41f-0642-4a63-b9ba-547d50281eef
